20050101_20090101收益,20090101_20130101收益,20130101_20170101收益,快线,慢线,择时变量,sigmod乘积
4.125796143813382,1.6855350021802666,1.3528022914428934,40.0,70.0,收盘价,0.3741123153580576
4.159738212090181,1.611814171620025,1.34593745403888,40.0,70.0,最高价,0.3642400103068159
4.138948967309902,1.6049363522268396,1.318114590330012,40.0,70.0,开盘价,0.3588524447774761
3.825137179814374,1.4299365799005388,1.4937704798859601,50.0,70.0,收盘价,0.35517273619194517
4.169744109863593,1.434159161368981,1.4426762116888006,30.0,80.0,开盘价,0.35461973006566017
4.032297216181411,1.4682478523315217,1.4210557598949105,30.0,80.0,收盘价,0.3542044670513394
4.202979313185411,1.4948065440645066,1.3654762821572195,30.0,70.0,收盘价,0.3524342299602146
4.189901628237401,1.6473181569733422,1.2270247686815217,40.0,70.0,最低价,0.3508521752958948
3.7474957388409997,1.395530373607276,1.4799169212638557,50.0,70.0,最低价,0.3469286151026664
3.863443980063149,1.385936563979968,1.4711806056684775,50.0,70.0,开盘价,0.34671891982674186
3.9421453359034517,1.4847764130055927,1.3562070436793876,60.0,70.0,最低价,0.3457356487320268
3.7311498212079495,1.479663396087724,1.372276625626451,60.0,70.0,收盘价,0.3433011053247255
3.5414924552861486,1.510938780528943,1.3722458697009692,70.0,120.0,收盘价-成交量,0.34300540930776685
3.5414924552861486,1.510938780528943,1.3722458697009692,70.0,120.0,成交量,0.34300540930776685
3.3537471982004035,1.5316238426613142,1.388039780839362,80.0,90.0,收盘价,0.3427160973128603
4.175030980583883,1.4663929064439345,1.320962267628196,30.0,80.0,最低价,0.3418683935726926
4.05748518299357,1.4650947350774393,1.3325911204514713,30.0,70.0,最低价,0.34165678472171634
3.6504956692252053,1.5550759503528278,1.294231742385888,60.0,70.0,开盘价,0.34004178575099697
3.8970489801901067,1.400645000609656,1.3964935827513614,40.0,80.0,最低价,0.33929095961429107
3.936253553527448,1.346084664202825,1.4399468452591355,40.0,80.0,开盘价,0.3382797781201555
3.360918780248951,1.480300438149726,1.3975530956458013,80.0,90.0,最低价,0.3376641557966171
4.05550828087559,1.3973173811443187,1.3650782268585453,40.0,60.0,最低价,0.33712800724528824
4.238522744559957,1.2860344642616626,1.4571311779900065,30.0,90.0,最低价,0.33646108513998196
3.97112711076721,1.4886617956051886,1.2756517548243236,30.0,70.0,开盘价,0.33516317498513803
3.9683875354436173,1.3606829483158025,1.3929161441026807,40.0,80.0,收盘价,0.33455521218791545
4.3151244675369735,1.189181727955074,1.54060535745394,20.0,140.0,收盘价,0.3336547712287649
3.818829163952118,1.3879995162801988,1.3774417790719131,50.0,80.0,开盘价,0.333557218011646
3.947583986203986,1.4265726789170199,1.3224800186350014,30.0,80.0,最高价,0.3333965473956076
4.0660705631105944,1.4714109472580228,1.2655346087815982,30.0,70.0,最高价,0.33297594804104785
4.3265318680435625,1.2108525043644174,1.4930525229192142,10.0,140.0,收盘价,0.33112441760274985
3.8277059532049442,1.407059559305208,1.3368081196115629,50.0,70.0,最高价,0.33071116807362344
3.9773660148352703,1.2107799373804382,1.526292691889184,70.0,110.0,收盘价,0.33048156480249147
3.19692408231514,1.381780534520426,1.4620681492675642,70.0,110.0,成交量,0.3281367546136101
3.19692408231514,1.381780534520426,1.4620681492675642,70.0,110.0,收盘价-成交量,0.3281367546136101
4.056230731197205,1.5244239977219003,1.1835172798779956,90.0,120.0,成交量,0.32742078260713003
4.056230731197205,1.5244239977219003,1.1835172798779956,90.0,120.0,收盘价-成交量,0.32742078260713003
3.9593689046812344,1.1434382042599573,1.5830952748419087,30.0,100.0,开盘价,0.32691321647992555
3.023864637845941,1.4137546376618868,1.4670496951416596,80.0,110.0,收盘价-成交量,0.3268427781847943
3.023864637845941,1.4137546376618868,1.4670496951416596,80.0,110.0,成交量,0.3268427781847943
4.270569046045864,1.1672607822372938,1.5156177282891894,20.0,150.0,最高价,0.3267695264706654
3.8833910424476508,1.3215349967915866,1.3823361798317868,50.0,80.0,收盘价,0.32633695745962743
3.829293058168577,1.3409373213530642,1.3686777816445603,50.0,80.0,最高价,0.32620853519177895
3.1987482599381396,1.4354476012586974,1.3875185866344968,80.0,90.0,最高价,0.3255655482104728
3.9975641290666646,1.2448399040772185,1.4344947184853931,40.0,90.0,最低价,0.324256754556628
3.690543526715651,1.2793648277652583,1.4389971260610928,70.0,100.0,最高价,0.32420542200018215
3.8241434045235234,1.1911350458091527,1.518276602533617,20.0,130.0,最高价,0.3239974037141107
4.252262955307605,1.1936377336733042,1.46295079433131,20.0,140.0,最高价,0.32394184015750227
3.038500868472283,1.296973407324374,1.5665558810378912,10.0,30.0,收盘价-成交量,0.32383309618909334
3.038500868472283,1.296973407324374,1.5665558810378912,10.0,30.0,成交量,0.32383309618909334
3.6304345217137803,1.2150403933840281,1.5177427502242171,70.0,110.0,开盘价,0.32355649869511033
4.367995888504393,1.1455656712012319,1.5059765552777846,10.0,140.0,最低价,0.3234490443136862
3.171705718564626,1.4244552596673028,1.3832823315224412,60.0,130.0,成交量,0.32271924029611654
3.171705718564626,1.4244552596673028,1.3832823315224412,60.0,130.0,收盘价-成交量,0.32271924029611654
4.260110893663826,1.1811038447279067,1.4668695012604405,10.0,140.0,最高价,0.3226878925719656
3.5880123275905285,1.4986432269006176,1.2314252575642592,60.0,70.0,最高价,0.3226516728458831
4.099509346106011,1.1634916987944375,1.5023804244030787,30.0,100.0,最低价,0.32238690867185926
4.06022686696333,1.3066203451337008,1.3444010897021474,30.0,90.0,最高价,0.32204782678888055
