20050101_20090101收益,20090101_20130101收益,20130101_20170101收益,快线,慢线,择时变量,sigmod乘积
4.01387300892543,1.869315538636112,1.9640140369505568,90.0,110.0,收盘价-成交量,0.48620645276517505
4.01387300892543,1.869315538636112,1.9640140369505568,90.0,110.0,成交量,0.48620645276517505
5.012171922031516,1.7604377534119622,1.9074790838359,100.0,110.0,最高价,0.4768924453849673
5.2990466988271185,1.6815629962801664,1.9505277467836497,100.0,110.0,最低价,0.47253626444555535
4.307226031947644,1.6329917227481443,2.0961261773927156,100.0,210.0,成交量,0.4722773108250917
4.307226031947644,1.6329917227481443,2.0961261773927156,100.0,210.0,收盘价-成交量,0.4722773108250917
4.416803731708042,1.6477311891131894,2.0475103921897166,100.0,220.0,收盘价-成交量,0.4705614543987515
4.416803731708042,1.6477311891131894,2.0475103921897166,100.0,220.0,成交量,0.4705614543987515
4.432388115978124,1.6242321959600505,2.074837858466832,100.0,230.0,收盘价-成交量,0.47027106133591406
4.432388115978124,1.6242321959600505,2.074837858466832,100.0,230.0,成交量,0.47027106133591406
4.778530209855797,1.6811037237445512,1.9378756491489946,80.0,240.0,收盘价-成交量,0.4665233469799297
4.778530209855797,1.6811037237445512,1.9378756491489946,80.0,240.0,成交量,0.4665233469799297
4.9147769740975615,1.8772078994933463,1.7133521412257833,100.0,110.0,开盘价,0.46472029543713267
4.299734982982886,1.6725094344378635,1.952905493920614,100.0,110.0,成交量,0.4608109379195434
4.299734982982886,1.6725094344378635,1.952905493920614,100.0,110.0,收盘价-成交量,0.4608109379195434
4.47504862294681,1.5193670501584224,2.1317841168652416,100.0,240.0,成交量,0.45987913825739885
4.47504862294681,1.5193670501584224,2.1317841168652416,100.0,240.0,收盘价-成交量,0.45987913825739885
3.072619852457756,1.9606428782584675,1.892780916711071,90.0,100.0,成交量,0.45576002933135584
3.072619852457756,1.9606428782584675,1.892780916711071,90.0,100.0,收盘价-成交量,0.45576002933135584
4.291097165360366,1.610428286990106,1.9876689541388675,100.0,250.0,收盘价-成交量,0.4552377452258889
4.291097165360366,1.610428286990106,1.9876689541388675,100.0,250.0,成交量,0.4552377452258889
5.115508098065511,1.6263672903447892,1.8743545081205126,100.0,110.0,收盘价,0.45246508712354067
4.649061064952728,1.6283926033447809,1.8967504767112697,90.0,210.0,成交量,0.45144744962607936
4.649061064952728,1.6283926033447809,1.8967504767112697,90.0,210.0,收盘价-成交量,0.45144744962607936
4.445778032002424,1.5928057279653147,1.960762540135777,90.0,220.0,成交量,0.4514042595024535
4.445778032002424,1.5928057279653147,1.960762540135777,90.0,220.0,收盘价-成交量,0.4514042595024535
4.566674448657237,1.6073437736431206,1.9244923266762597,80.0,250.0,成交量,0.4507305102368194
4.566674448657237,1.6073437736431206,1.9244923266762597,80.0,250.0,收盘价-成交量,0.4507305102368194
4.322345894262604,1.588213745279455,1.9747771885816765,130.0,220.0,收盘价-成交量,0.4505793546710849
4.322345894262604,1.588213745279455,1.9747771885816765,130.0,220.0,成交量,0.4505793546710849
4.332846966375124,1.500326297287181,2.0831564220429977,170.0,180.0,最低价,0.4490632775061037
4.459920635117546,1.5772940480506452,1.9528067347143407,90.0,230.0,成交量,0.44811042789738853
4.459920635117546,1.5772940480506452,1.9528067347143407,90.0,230.0,收盘价-成交量,0.44811042789738853
4.374870385662091,1.5850615713679348,1.9516051312081546,90.0,240.0,成交量,0.4479982913701844
4.374870385662091,1.5850615713679348,1.9516051312081546,90.0,240.0,收盘价-成交量,0.4479982913701844
4.19833178766865,1.507528991227477,2.0819715474214795,100.0,200.0,成交量,0.4479255904708456
4.19833178766865,1.507528991227477,2.0819715474214795,100.0,200.0,收盘价-成交量,0.4479255904708456
6.7696343835103105,1.5958067368302533,1.8272344544197114,90.0,140.0,最低价,0.44716474166108344
4.743131806650563,1.607765480176797,1.8620830754565803,80.0,230.0,收盘价-成交量,0.4446760275795416
4.743131806650563,1.607765480176797,1.8620830754565803,80.0,230.0,成交量,0.4446760275795416
4.426885643537261,1.5246242681480462,1.9945578802720076,140.0,220.0,收盘价-成交量,0.4441686152163866
4.426885643537261,1.5246242681480462,1.9945578802720076,140.0,220.0,成交量,0.4441686152163866
3.8255255396154575,1.5618846377418367,2.038343082258801,110.0,220.0,成交量,0.44403980597975323
3.8255255396154575,1.5618846377418367,2.038343082258801,110.0,220.0,收盘价-成交量,0.44403980597975323
3.9907411647891813,1.4800134208678226,2.1224763444020653,170.0,180.0,收盘价,0.4437617845336537
4.247001305027768,1.5341004575302608,2.000525683329495,110.0,230.0,成交量,0.4436972906552537
4.247001305027768,1.5341004575302608,2.000525683329495,110.0,230.0,收盘价-成交量,0.4436972906552537
4.26397678919125,1.5631509101218954,1.9592220418118036,110.0,240.0,收盘价-成交量,0.4436952677487252
4.26397678919125,1.5631509101218954,1.9592220418118036,110.0,240.0,成交量,0.4436952677487252
4.363327510670399,1.555215643716991,1.953674626739629,130.0,230.0,收盘价-成交量,0.4432796400233976
4.363327510670399,1.555215643716991,1.953674626739629,130.0,230.0,成交量,0.4432796400233976
5.622413460552006,1.631975854731834,1.7750040903308248,90.0,110.0,开盘价,0.44265162059504204
4.096174023704367,1.6217324184695057,1.898239510247201,120.0,230.0,收盘价-成交量,0.4423148241330657
4.096174023704367,1.6217324184695057,1.898239510247201,120.0,230.0,成交量,0.4423148241330657
4.304376830999201,1.6080094149895856,1.8809386651665874,120.0,220.0,收盘价-成交量,0.4415685120153537
4.304376830999201,1.6080094149895856,1.8809386651665874,120.0,220.0,成交量,0.4415685120153537
