信息比率,回测开始时间,回测结束时间,基准总收益,夏普比率,最大回撤,最大回撤开始时间,最大回测结束时间,月度胜率,策略平均年化收益,策略总收益,调仓日期,贝塔,连续最大亏损天数,连续最大盈利天数,阿尔法
-0.2644,2020-01-01,2020-03-01,0.9443,-3.0275,-0.0717,2020-01-07,2020-02-28,0.0000,-0.3922,0.9395,1.0000,0.2389,3.0000,4.0000,-0.3232
-0.2644,2020-01-01,2020-03-01,0.9443,-3.0275,-0.0717,2020-01-07,2020-02-28,0.0000,-0.3922,0.9395,2.0000,0.2389,3.0000,4.0000,-0.3232
-0.2644,2020-01-01,2020-03-01,0.9443,-3.0275,-0.0717,2020-01-07,2020-02-28,0.0000,-0.3922,0.9395,3.0000,0.2389,3.0000,4.0000,-0.3232
