交易日期,当日收盘价,持仓数量,股票代码,调仓日期
2020-01-02,16.8700,500.0000,sz000001,1
2020-01-06,17.0700,500.0000,sz000001,1
2020-01-08,16.6600,500.0000,sz000001,1
2020-01-10,16.6900,500.0000,sz000001,1
2020-01-14,16.7600,500.0000,sz000001,1
2020-01-16,16.3300,500.0000,sz000001,1
2020-01-20,16.4500,500.0000,sz000001,1
2020-01-22,16.0900,600.0000,sz000001,1
2020-02-03,13.9900,600.0000,sz000001,1
2020-02-05,14.6300,600.0000,sz000001,1
2020-02-07,14.6200,600.0000,sz000001,1
2020-02-11,14.7900,600.0000,sz000001,1
2020-02-13,14.6500,600.0000,sz000001,1
2020-02-17,15.3700,600.0000,sz000001,1
2020-02-19,15.2400,600.0000,sz000001,1
2020-02-21,15.5800,600.0000,sz000001,1
2020-02-25,15.0400,600.0000,sz000001,1
2020-02-27,15.1100,600.0000,sz000001,1
2020-01-02,16.8700,500.0000,sz000001,2
2020-01-06,17.0700,500.0000,sz000001,2
2020-01-08,16.6600,500.0000,sz000001,2
2020-01-10,16.6900,500.0000,sz000001,2
2020-01-14,16.7600,500.0000,sz000001,2
2020-01-16,16.3300,500.0000,sz000001,2
2020-01-20,16.4500,500.0000,sz000001,2
2020-01-22,16.0900,600.0000,sz000001,2
2020-02-03,13.9900,600.0000,sz000001,2
2020-02-05,14.6300,600.0000,sz000001,2
2020-02-07,14.6200,600.0000,sz000001,2
2020-02-11,14.7900,600.0000,sz000001,2
2020-02-13,14.6500,600.0000,sz000001,2
2020-02-17,15.3700,600.0000,sz000001,2
2020-02-19,15.2400,600.0000,sz000001,2
2020-02-21,15.5800,600.0000,sz000001,2
2020-02-25,15.0400,600.0000,sz000001,2
2020-02-27,15.1100,600.0000,sz000001,2
2020-01-02,16.8700,500.0000,sz000001,3
2020-01-06,17.0700,500.0000,sz000001,3
2020-01-08,16.6600,500.0000,sz000001,3
2020-01-10,16.6900,500.0000,sz000001,3
2020-01-14,16.7600,500.0000,sz000001,3
2020-01-16,16.3300,500.0000,sz000001,3
2020-01-20,16.4500,500.0000,sz000001,3
2020-01-22,16.0900,600.0000,sz000001,3
2020-02-03,13.9900,600.0000,sz000001,3
2020-02-05,14.6300,600.0000,sz000001,3
2020-02-07,14.6200,600.0000,sz000001,3
2020-02-11,14.7900,600.0000,sz000001,3
2020-02-13,14.6500,600.0000,sz000001,3
2020-02-17,15.3700,600.0000,sz000001,3
2020-02-19,15.2400,600.0000,sz000001,3
2020-02-21,15.5800,600.0000,sz000001,3
2020-02-25,15.0400,600.0000,sz000001,3
2020-02-27,15.1100,600.0000,sz000001,3
