信息比率,回测开始时间,回测结束时间,基准总收益,夏普比率,最大回撤,最大回撤开始时间,最大回测结束时间,月度胜率,策略平均年化收益,策略总收益,调仓日期,贝塔,连续最大亏损天数,连续最大盈利天数,阿尔法
-2.9111,2015-01-01,2020-03-01,0.8904,-1.7202,-0.9999,2015-01-21,2020-02-28,0.0645,-0.8296,0.0001,1.0000,0.2094,398.0000,5.0000,-0.8459
-2.9111,2015-01-01,2020-03-01,0.8904,-1.7202,-0.9999,2015-01-21,2020-02-28,0.0645,-0.8296,0.0001,2.0000,0.2094,398.0000,5.0000,-0.8459
-2.9111,2015-01-01,2020-03-01,0.8904,-1.7202,-0.9999,2015-01-21,2020-02-28,0.0645,-0.8296,0.0001,3.0000,0.2094,398.0000,5.0000,-0.8459
