交易日期,策略总资产,策略涨跌幅,策略累计收益率,策略仓位比例,基准总资产,基准涨跌幅,基准累计收益率,调仓日期
2015-01-05,9998.8120,-0.0001,0.9999,0.9613,3350.5200,0.0358,1.0358,1
2015-01-06,9868.2820,-0.0131,0.9868,0.0000,3351.4500,0.0003,1.0361,1
2015-01-07,9801.6100,-0.0068,0.9802,0.9476,3373.9500,0.0067,1.0431,1
2015-01-08,9785.7100,-0.0016,0.9786,0.0000,3293.4600,-0.0239,1.0182,1
2015-01-09,9875.8300,0.0092,0.9876,0.9162,3285.4100,-0.0024,1.0157,1
2015-01-12,9723.0640,-0.0155,0.9723,0.0000,3229.3200,-0.0171,0.9983,1
2015-01-13,9723.4840,0.0000,0.9723,0.9058,3235.3000,0.0019,1.0002,1
2015-01-14,9756.8800,0.0034,0.9757,0.0000,3222.4400,-0.0040,0.9962,1
2015-01-15,10039.0600,0.0289,1.0039,0.9174,3336.4600,0.0354,1.0315,1
2015-01-16,10041.3400,0.0002,1.0041,0.0000,3376.5000,0.0120,1.0438,1
2015-01-19,9895.7260,-0.0145,0.9896,0.9783,3116.3500,-0.0770,0.9634,1
2015-01-20,9866.6830,-0.0029,0.9867,0.0000,3173.0500,0.0182,0.9809,1
2015-01-21,10225.2510,0.0363,1.0225,0.9872,3323.6100,0.0474,1.0275,1
2015-01-22,10139.1370,-0.0084,1.0139,0.0000,3343.3400,0.0059,1.0336,1
2015-01-23,10145.9050,0.0007,1.0146,0.8516,3351.7600,0.0025,1.0362,1
2015-01-26,10096.0570,-0.0049,1.0096,0.0000,3383.1800,0.0094,1.0459,1
2015-01-27,9862.8370,-0.0231,0.9863,0.8511,3352.9600,-0.0089,1.0366,1
2015-01-28,9765.8710,-0.0098,0.9766,0.0000,3305.7400,-0.0141,1.0220,1
2015-01-29,9802.5230,0.0038,0.9803,0.9926,3262.3100,-0.0131,1.0085,1
2015-01-30,9794.2700,-0.0008,0.9794,0.0000,3210.3600,-0.0159,0.9925,1
2015-02-02,9796.2300,0.0002,0.9796,0.9739,3128.3000,-0.0256,0.9671,1
2015-02-03,9872.2920,0.0078,0.9872,0.0000,3204.9100,0.0245,0.9908,1
2015-02-04,9649.6920,-0.0225,0.9650,0.9945,3174.1300,-0.0096,0.9813,1
2015-02-05,10032.6620,0.0397,1.0033,0.0000,3136.5300,-0.0118,0.9697,1
2015-02-06,9887.4960,-0.0145,0.9887,0.9565,3075.9100,-0.0193,0.9509,1
2015-02-09,9852.1460,-0.0036,0.9852,0.0000,3095.1200,0.0062,0.9569,1
2015-02-10,10029.2600,0.0180,1.0029,0.9611,3141.5900,0.0150,0.9712,1
2015-02-11,10007.3220,-0.0022,1.0007,0.0000,3157.7000,0.0051,0.9762,1
2015-02-12,10065.0720,0.0058,1.0065,0.9639,3173.4200,0.0050,0.9811,1
2015-02-13,10084.8190,0.0020,1.0085,0.0000,3203.8300,0.0096,0.9905,1
2015-02-16,10044.2890,-0.0040,1.0044,0.9701,3222.3600,0.0058,0.9962,1
2015-02-17,10042.9730,-0.0001,1.0043,0.0000,3246.9100,0.0076,1.0038,1
2015-02-25,9855.3170,-0.0187,0.9855,0.9802,3228.8400,-0.0056,0.9982,1
2015-02-26,9826.3370,-0.0029,0.9826,0.0000,3298.3600,0.0215,1.0197,1
2015-02-27,9767.4650,-0.0060,0.9767,0.8594,3310.3000,0.0036,1.0234,1
2015-03-02,9766.2110,-0.0001,0.9766,0.0000,3336.2900,0.0078,1.0314,1
2015-03-03,9521.4350,-0.0251,0.9521,0.8570,3263.0500,-0.0220,1.0088,1
2015-03-04,9508.9190,-0.0013,0.9509,0.0000,3279.5300,0.0051,1.0139,1
2015-03-05,9406.0190,-0.0108,0.9406,0.9957,3248.4800,-0.0095,1.0043,1
2015-03-06,9370.9420,-0.0037,0.9371,0.0000,3241.1900,-0.0022,1.0020,1
2015-03-09,9762.7780,0.0418,0.9763,0.8696,3302.4100,0.0189,1.0209,1
2015-03-10,9647.5780,-0.0118,0.9648,0.0000,3286.0700,-0.0049,1.0159,1
2015-03-11,9673.0300,0.0026,0.9673,0.8597,3290.9000,0.0015,1.0174,1
2015-03-12,9851.4700,0.0184,0.9851,0.0000,3349.3200,0.0178,1.0354,1
2015-03-13,9887.5900,0.0037,0.9888,0.9096,3372.9100,0.0070,1.0427,1
2015-03-16,9926.4100,0.0039,0.9926,0.0000,3449.3100,0.0226,1.0664,1
2015-03-17,9841.7980,-0.0085,0.9842,0.9389,3502.8500,0.0155,1.0829,1
2015-03-18,9790.1500,-0.0052,0.9790,0.0000,3577.3000,0.0213,1.1059,1
2015-03-19,9597.5740,-0.0197,0.9598,0.9496,3582.2700,0.0014,1.1075,1
2015-03-20,9570.2320,-0.0028,0.9570,0.0000,3617.3200,0.0098,1.1183,1
2015-03-23,9611.8360,0.0043,0.9612,0.9632,3687.7300,0.0195,1.1401,1
2015-03-24,9584.0620,-0.0029,0.9584,0.0000,3691.4100,0.0010,1.1412,1
2015-03-25,9343.7260,-0.0251,0.9344,0.9574,3660.7300,-0.0083,1.1317,1
2015-03-26,9286.9780,-0.0061,0.9287,0.0000,3682.1000,0.0058,1.1383,1
2015-03-27,9256.8580,-0.0032,0.9257,0.9774,3691.1000,0.0024,1.1411,1
2015-03-30,9319.4440,0.0068,0.9319,0.0000,3786.5700,0.0259,1.1706,1
2015-03-31,9158.4040,-0.0173,0.9158,0.8599,3747.9000,-0.0102,1.1587,1
2015-04-01,9169.6740,0.0012,0.9170,0.0000,3810.2900,0.0166,1.1780,1
2015-04-02,9008.5840,-0.0176,0.9009,0.8769,3825.7800,0.0041,1.1827,1
2015-04-03,8935.0340,-0.0082,0.8935,0.0000,3863.9300,0.0100,1.1945,1
2015-04-07,9248.8840,0.0351,0.9249,0.9088,3961.3800,0.0252,1.2247,1
2015-04-08,9283.4890,0.0037,0.9283,0.0000,3994.8100,0.0084,1.2350,1
2015-04-09,9290.5390,0.0008,0.9291,0.9687,3957.5300,-0.0093,1.2235,1
2015-04-10,9263.5390,-0.0029,0.9264,0.0000,4034.3100,0.0194,1.2472,1
2015-04-13,9016.5390,-0.0267,0.9017,0.9172,4121.7200,0.0217,1.2742,1
2015-04-14,8971.7890,-0.0050,0.8972,0.0000,4135.5700,0.0034,1.2785,1
2015-04-15,9130.4890,0.0177,0.9130,0.9118,4084.1600,-0.0124,1.2626,1
2015-04-16,8950.9790,-0.0197,0.8951,0.0000,4194.8200,0.0271,1.2968,1
2015-04-17,8648.4790,-0.0338,0.8648,0.9788,4287.3000,0.0220,1.3254,1
2015-04-20,8707.8290,0.0069,0.8708,0.0000,4217.0800,-0.0164,1.3037,1
2015-04-21,8811.5090,0.0119,0.8812,0.9397,4293.6200,0.0182,1.3274,1
2015-04-22,8796.6390,-0.0017,0.8797,0.0000,4398.4900,0.0244,1.3598,1
2015-04-23,8619.6590,-0.0201,0.8620,0.9664,4414.5100,0.0036,1.3647,1
2015-04-24,8415.2090,-0.0237,0.8415,0.0000,4393.6900,-0.0047,1.3583,1
2015-04-27,8503.9990,0.0106,0.8504,0.9654,4527.4000,0.0304,1.3996,1
2015-04-28,8494.3240,-0.0011,0.8494,0.0000,4476.2200,-0.0113,1.3838,1
2015-04-29,8472.6640,-0.0025,0.8473,0.9826,4476.6200,0.0001,1.3839,1
2015-04-30,8537.4190,0.0076,0.8537,0.0000,4441.6600,-0.0078,1.3731,1
2015-05-04,8430.7190,-0.0125,0.8431,0.9798,4480.4600,0.0087,1.3851,1
2015-05-05,8351.1040,-0.0094,0.8351,0.0000,4298.7100,-0.0406,1.3289,1
2015-05-06,8285.2840,-0.0079,0.8285,0.9487,4229.2700,-0.0162,1.3075,1
2015-05-07,8261.7040,-0.0028,0.8262,0.0000,4112.2100,-0.0277,1.2713,1
2015-05-08,8315.9940,0.0066,0.8316,0.9530,4205.9200,0.0228,1.3003,1
2015-05-11,8267.2940,-0.0059,0.8267,0.0000,4333.5800,0.0304,1.3397,1
2015-05-12,8241.3140,-0.0031,0.8241,0.9683,4401.2200,0.0156,1.3606,1
2015-05-13,8327.0440,0.0104,0.8327,0.0000,4375.7600,-0.0058,1.3528,1
2015-05-14,8256.0440,-0.0085,0.8256,0.9623,4378.3100,0.0006,1.3536,1
2015-05-15,8187.3440,-0.0083,0.8187,0.0000,4308.6900,-0.0159,1.3320,1
2015-05-18,8162.1440,-0.0031,0.8162,0.9299,4283.4900,-0.0058,1.3242,1
2015-05-19,8134.3890,-0.0034,0.8134,0.0000,4417.5500,0.0313,1.3657,1
2015-05-20,7983.3790,-0.0186,0.7983,0.9858,4446.2900,0.0065,1.3746,1
2015-05-21,7989.6790,0.0008,0.7990,0.0000,4529.4200,0.0187,1.4003,1
2015-05-22,8153.7690,0.0205,0.8154,0.9977,4657.6000,0.0283,1.4399,1
2015-05-25,8169.2440,0.0019,0.8169,0.0000,4813.8000,0.0335,1.4882,1
2015-05-26,8151.9400,-0.0021,0.8152,0.8155,4910.9000,0.0202,1.5182,1
2015-05-27,8131.9960,-0.0024,0.8132,0.0000,4941.7100,0.0063,1.5277,1
2015-05-28,7718.7960,-0.0508,0.7719,0.8032,4620.2700,-0.0650,1.4284,1
2015-05-29,7704.1840,-0.0019,0.7704,0.0000,4611.7400,-0.0018,1.4257,1
2015-06-01,7973.8540,0.0350,0.7974,0.9970,4828.7400,0.0471,1.4928,1
2015-06-02,7945.0190,-0.0036,0.7945,0.0000,4910.5300,0.0169,1.5181,1
2015-06-03,7959.2490,0.0018,0.7959,0.9944,4909.9800,-0.0001,1.5179,1
2015-06-04,7945.4740,-0.0017,0.7945,0.0000,4947.1000,0.0076,1.5294,1
2015-06-05,7772.1140,-0.0218,0.7772,0.8389,5023.1000,0.0154,1.5529,1
2015-06-08,7760.5300,-0.0015,0.7761,0.0000,5131.8800,0.0217,1.5865,1
2015-06-09,7594.6420,-0.0214,0.7595,0.8943,5113.5300,-0.0036,1.5808,1
2015-06-10,7502.4820,-0.0121,0.7502,0.0000,5106.0400,-0.0015,1.5785,1
2015-06-11,7409.1380,-0.0124,0.7409,0.8897,5121.5900,0.0030,1.5833,1
2015-06-12,7389.3620,-0.0027,0.7389,0.0000,5166.3500,0.0087,1.5972,1
2015-06-15,7132.1380,-0.0348,0.7132,0.8929,5062.9900,-0.0200,1.5652,1
2015-06-16,7065.1780,-0.0094,0.7065,0.0000,4887.4300,-0.0347,1.5109,1
2015-06-17,7012.5140,-0.0075,0.7013,0.8973,4967.9000,0.0165,1.5358,1
2015-06-18,6973.6980,-0.0055,0.6974,0.0000,4785.3600,-0.0367,1.4794,1
2015-06-19,6713.4980,-0.0373,0.6713,0.8717,4478.3600,-0.0642,1.3845,1
2015-06-23,6699.9300,-0.0020,0.6700,0.0000,4576.4900,0.0219,1.4148,1
2015-06-24,6735.9300,0.0054,0.6736,0.8979,4690.1500,0.0248,1.4500,1
2015-06-25,6901.2340,0.0245,0.6901,0.0000,4527.7800,-0.0346,1.3998,1
2015-06-26,6541.5220,-0.0521,0.6542,0.8420,4192.8700,-0.0740,1.2962,1
2015-06-29,6648.6260,0.0164,0.6649,0.0000,4053.0300,-0.0334,1.2530,1
2015-06-30,7037.7940,0.0585,0.7038,0.8264,4277.2200,0.0553,1.3223,1
2015-07-01,6944.5740,-0.0132,0.6945,0.0000,4053.7000,-0.0523,1.2532,1
2015-07-02,6873.4540,-0.0102,0.6873,0.8002,3912.7700,-0.0348,1.2096,1
2015-07-03,6948.6780,0.0109,0.6949,0.0000,3686.9200,-0.0577,1.1398,1
2015-07-06,6769.2380,-0.0258,0.6769,0.8202,3775.9100,0.0241,1.1673,1
2015-07-07,6664.8460,-0.0154,0.6665,0.0000,3727.1300,-0.0129,1.1522,1
2015-07-08,6405.7980,-0.0389,0.6406,0.8236,3507.1900,-0.0590,1.0842,1
2015-07-09,6389.9700,-0.0025,0.6390,0.0000,3709.3300,0.0576,1.1467,1
2015-07-10,6782.8900,0.0615,0.6783,0.8763,3877.8000,0.0454,1.1988,1
2015-07-13,6581.6100,-0.0297,0.6582,0.0000,3970.3900,0.0239,1.2274,1
2015-07-14,6438.2500,-0.0218,0.6438,0.8617,3924.4900,-0.0116,1.2133,1
2015-07-15,6337.8580,-0.0156,0.6338,0.0000,3805.7000,-0.0303,1.1765,1
2015-07-16,6326.9780,-0.0017,0.6327,0.8598,3823.1800,0.0046,1.1819,1
2015-07-17,6334.5860,0.0012,0.6335,0.0000,3957.3500,0.0351,1.2234,1
2015-07-20,6243.5460,-0.0144,0.6244,0.8713,3992.1100,0.0088,1.2342,1
2015-07-21,6191.3340,-0.0084,0.6191,0.0000,4017.6800,0.0064,1.2421,1
2015-07-22,6192.5420,0.0002,0.6193,0.8733,4026.0500,0.0021,1.2447,1
2015-07-23,6152.3900,-0.0065,0.6152,0.0000,4123.9200,0.0243,1.2749,1
2015-07-24,6021.4460,-0.0213,0.6021,0.8888,4070.9100,-0.0129,1.2585,1
2015-07-27,5953.5460,-0.0113,0.5954,0.0000,3725.5600,-0.0848,1.1518,1
2015-07-28,6115.7940,0.0273,0.6116,0.8254,3663.0000,-0.0168,1.1324,1
2015-07-29,6092.6740,-0.0038,0.6093,0.0000,3789.1700,0.0344,1.1714,1
2015-07-30,5942.5860,-0.0246,0.5943,0.8252,3705.7700,-0.0220,1.1456,1
2015-07-31,5887.9940,-0.0092,0.5888,0.0000,3663.7300,-0.0113,1.1326,1
2015-08-03,6126.2340,0.0405,0.6126,0.8371,3622.9100,-0.0111,1.1200,1
2015-08-04,6090.9100,-0.0058,0.6091,0.0000,3756.5500,0.0369,1.1613,1
2015-08-05,5996.6700,-0.0155,0.5997,0.8398,3694.5700,-0.0165,1.1422,1
2015-08-06,5945.6700,-0.0085,0.5946,0.0000,3661.5400,-0.0089,1.1320,1
2015-08-07,5935.5820,-0.0017,0.5936,0.8498,3744.2100,0.0226,1.1575,1
2015-08-10,5940.3900,0.0008,0.5940,0.0000,3928.4200,0.0492,1.2145,1
2015-08-11,5902.0620,-0.0065,0.5902,0.8702,3927.9100,-0.0001,1.2143,1
2015-08-12,5826.8340,-0.0127,0.5827,0.0000,3886.3200,-0.0106,1.2015,1
2015-08-13,5840.8260,0.0024,0.5841,0.8608,3954.5600,0.0176,1.2226,1
2015-08-14,5873.5980,0.0056,0.5874,0.0000,3965.3400,0.0027,1.2259,1
2015-08-17,5835.5100,-0.0065,0.5836,0.8596,3993.6700,0.0071,1.2346,1
2015-08-18,5804.5100,-0.0053,0.5805,0.0000,3748.1600,-0.0615,1.1587,1
2015-08-19,5846.8300,0.0073,0.5847,0.8367,3794.1100,0.0123,1.1729,1
2015-08-20,5808.2260,-0.0066,0.5808,0.0000,3664.2900,-0.0342,1.1328,1
2015-08-21,5638.7060,-0.0292,0.5639,0.8158,3507.7400,-0.0427,1.0844,1
2015-08-24,5465.3860,-0.0307,0.5465,0.0000,3209.9100,-0.0849,0.9923,1
2015-08-25,5260.5360,-0.0375,0.5261,0.8991,2964.9700,-0.0763,0.9166,1
