交易日期,佣金,印花税,成交价,成交方向,成交量,股票代码,调仓日期
2015-01-05,19.1880,0.0000,15.9900,1.0000,600.0000,sz000001,1
2015-01-06,19.0200,9.5100,15.8500,-1.0000,600.0000,sz000001,1
2015-01-07,18.6720,0.0000,15.5600,1.0000,600.0000,sz000001,1
2015-01-08,18.6000,9.3000,15.5000,-1.0000,600.0000,sz000001,1
2015-01-09,17.8800,0.0000,14.9000,1.0000,600.0000,sz000001,1
2015-01-12,17.8440,8.9220,14.8700,-1.0000,600.0000,sz000001,1
2015-01-13,17.5800,0.0000,14.6500,1.0000,600.0000,sz000001,1
2015-01-14,17.7360,8.8680,14.7800,-1.0000,600.0000,sz000001,1
2015-01-15,17.8200,0.0000,14.8500,1.0000,600.0000,sz000001,1
2015-01-16,18.4800,9.2400,15.4000,-1.0000,600.0000,sz000001,1
2015-01-19,19.6140,0.0000,14.0100,1.0000,700.0000,sz000001,1
2015-01-20,19.3620,9.6810,13.8300,-1.0000,700.0000,sz000001,1
2015-01-21,19.4320,0.0000,13.8800,1.0000,700.0000,sz000001,1
2015-01-22,20.0760,10.0380,14.3400,-1.0000,700.0000,sz000001,1
2015-01-23,17.2320,0.0000,14.3600,1.0000,600.0000,sz000001,1
2015-01-26,17.2320,8.6160,14.3600,-1.0000,600.0000,sz000001,1
2015-01-27,17.2200,0.0000,14.3500,1.0000,600.0000,sz000001,1
2015-01-28,16.6440,8.3220,13.8700,-1.0000,600.0000,sz000001,1
2015-01-29,19.3480,0.0000,13.8200,1.0000,700.0000,sz000001,1
2015-01-30,19.5020,9.7510,13.9300,-1.0000,700.0000,sz000001,1
2015-02-02,19.0400,0.0000,13.6000,1.0000,700.0000,sz000001,1
2015-02-03,19.2920,9.6460,13.7800,-1.0000,700.0000,sz000001,1
2015-02-04,19.6000,0.0000,14.0000,1.0000,700.0000,sz000001,1
2015-02-05,20.0200,10.0100,14.3000,-1.0000,700.0000,sz000001,1
