交易日期,当日收盘价,持仓数量,股票代码,调仓日期
2015-12-14,12.0700,400.0000,sz000001,1
2015-12-16,11.8900,400.0000,sz000001,1
2015-12-18,12.2300,400.0000,sz000001,1
2015-12-22,12.4300,400.0000,sz000001,1
2015-12-24,12.3400,400.0000,sz000001,1
2015-12-28,11.9800,400.0000,sz000001,1
2015-12-30,12.1000,400.0000,sz000001,1
2016-01-04,11.3300,400.0000,sz000001,1
2016-01-06,11.5300,400.0000,sz000001,1
2016-01-08,11.1200,400.0000,sz000001,1
2016-01-12,10.8100,400.0000,sz000001,1
2016-01-14,10.7700,400.0000,sz000001,1
2016-01-18,10.4100,400.0000,sz000001,1
2016-01-20,10.5400,400.0000,sz000001,1
2016-01-22,10.4000,400.0000,sz000001,1
2016-01-26,9.8700,400.0000,sz000001,1
2016-01-28,9.6900,400.0000,sz000001,1
2016-02-01,9.8000,400.0000,sz000001,1
2016-02-03,9.8500,400.0000,sz000001,1
2016-02-05,9.9200,400.0000,sz000001,1
2016-02-16,10.0100,400.0000,sz000001,1
2016-02-18,10.0900,400.0000,sz000001,1
2016-02-22,10.2900,400.0000,sz000001,1
2016-02-24,10.1500,400.0000,sz000001,1
2016-02-26,9.7900,400.0000,sz000001,1
2016-03-01,9.7000,400.0000,sz000001,1
2016-03-03,10.1100,400.0000,sz000001,1
2016-03-07,10.3400,400.0000,sz000001,1
2016-03-09,10.1700,400.0000,sz000001,1
2016-03-11,10.1600,400.0000,sz000001,1
2016-03-15,10.3200,400.0000,sz000001,1
2016-03-17,10.4200,400.0000,sz000001,1
2016-03-21,10.8000,400.0000,sz000001,1
2016-03-23,10.7000,400.0000,sz000001,1
2016-03-25,10.5900,400.0000,sz000001,1
2016-03-29,10.4300,400.0000,sz000001,1
2016-03-31,10.6400,400.0000,sz000001,1
2016-04-05,10.7000,400.0000,sz000001,1
2016-04-07,10.5900,400.0000,sz000001,1
2016-04-11,10.7200,400.0000,sz000001,1
2016-04-13,10.8100,400.0000,sz000001,1
2016-04-15,10.8800,400.0000,sz000001,1
2016-04-19,10.7700,400.0000,sz000001,1
2016-04-21,10.5100,400.0000,sz000001,1
2016-04-25,10.5000,400.0000,sz000001,1
2016-04-27,10.5700,400.0000,sz000001,1
2016-04-29,10.5700,300.0000,sz000001,1
2016-05-04,10.7200,300.0000,sz000001,1
2016-05-06,10.5200,300.0000,sz000001,1
2016-05-10,10.2800,300.0000,sz000001,1
2016-05-12,10.3800,300.0000,sz000001,1
2016-05-16,10.3600,300.0000,sz000001,1
2016-05-18,10.3000,300.0000,sz000001,1
2016-05-20,10.3000,300.0000,sz000001,1
2016-05-24,10.2100,300.0000,sz000001,1
2016-05-26,10.2200,300.0000,sz000001,1
2016-05-30,10.2800,300.0000,sz000001,1
2016-06-01,10.4800,300.0000,sz000001,1
2016-06-03,10.5000,300.0000,sz000001,1
2016-06-07,10.5200,300.0000,sz000001,1
2016-06-13,10.3300,300.0000,sz000001,1
2016-06-15,10.4400,300.0000,sz000001,1
2016-06-17,8.5800,300.0000,sz000001,1
2016-06-21,8.6100,300.0000,sz000001,1
2016-06-23,8.6600,300.0000,sz000001,1
2016-06-27,8.6100,300.0000,sz000001,1
2016-06-29,8.6900,300.0000,sz000001,1
2016-07-01,8.7100,300.0000,sz000001,1
2016-07-05,8.8100,300.0000,sz000001,1
2016-07-07,8.7800,300.0000,sz000001,1
2016-07-11,8.7500,300.0000,sz000001,1
2016-07-13,8.9900,300.0000,sz000001,1
2016-07-15,8.9900,300.0000,sz000001,1
2016-07-19,8.9700,300.0000,sz000001,1
2016-07-21,8.9900,300.0000,sz000001,1
2016-07-25,8.9800,300.0000,sz000001,1
2016-07-27,9.0100,300.0000,sz000001,1
2016-07-29,9.2000,300.0000,sz000001,1
2016-08-02,9.2500,300.0000,sz000001,1
2016-08-04,8.9900,300.0000,sz000001,1
2016-08-08,9.1100,300.0000,sz000001,1
2016-08-10,9.1400,300.0000,sz000001,1
2016-08-12,9.5000,300.0000,sz000001,1
2016-08-16,9.5200,300.0000,sz000001,1
2016-08-18,9.5000,300.0000,sz000001,1
2016-08-22,9.4000,300.0000,sz000001,1
2016-08-24,9.4300,300.0000,sz000001,1
2016-08-26,9.4500,300.0000,sz000001,1
2016-08-30,9.4700,300.0000,sz000001,1
2016-09-01,9.4500,300.0000,sz000001,1
2016-09-05,9.4200,300.0000,sz000001,1
2016-09-07,9.4000,300.0000,sz000001,1
2016-09-09,9.3800,300.0000,sz000001,1
2016-09-13,9.1900,300.0000,sz000001,1
2016-09-19,9.1200,300.0000,sz000001,1
2016-09-21,9.0800,300.0000,sz000001,1
2016-09-23,9.1500,300.0000,sz000001,1
2016-09-27,9.0600,300.0000,sz000001,1
2016-09-29,9.0600,300.0000,sz000001,1
2016-10-10,9.1200,300.0000,sz000001,1
2016-10-12,9.1300,300.0000,sz000001,1
2016-10-14,9.0900,300.0000,sz000001,1
2016-10-18,9.0900,300.0000,sz000001,1
2016-10-20,9.0700,300.0000,sz000001,1
2016-10-24,9.2400,300.0000,sz000001,1
2016-10-26,9.1500,300.0000,sz000001,1
2016-10-28,9.1700,200.0000,sz000001,1
