交易日期,佣金,印花税,成交价,成交方向,成交量,股票代码,调仓周期,选股数量
2019-01-02,66.5520,0.0000,2.8200,1.0000,11800.0000,sz300259,20,30
2019-01-02,66.4020,0.0000,6.5100,1.0000,5100.0000,sz000593,20,30
2019-01-02,66.5260,0.0000,8.9900,1.0000,3700.0000,sz300503,20,30
2019-01-02,66.6120,0.0000,7.9300,1.0000,4200.0000,sz300265,20,30
2019-01-02,64.2720,0.0000,13.3900,1.0000,2400.0000,sz300517,20,30
2019-01-02,65.8720,0.0000,7.1600,1.0000,4600.0000,sz002637,20,30
2019-01-02,65.8300,0.0000,11.3500,1.0000,2900.0000,sh603878,20,30
2019-01-02,65.8800,0.0000,5.4900,1.0000,6000.0000,sh600356,20,30
2019-01-02,64.2620,0.0000,13.9700,1.0000,2300.0000,sh603887,20,30
2019-01-02,66.4680,0.0000,5.7300,1.0000,5800.0000,sh600746,20,30
2019-01-02,66.4300,0.0000,3.6500,1.0000,9100.0000,sh600791,20,30
2019-01-02,66.2480,0.0000,3.3800,1.0000,9800.0000,sh600975,20,30
2019-01-02,64.9740,0.0000,24.9900,1.0000,1300.0000,sz300649,20,30
2019-01-02,63.9600,0.0000,24.6000,1.0000,1300.0000,sz300488,20,30
2019-01-02,66.6640,0.0000,12.8200,1.0000,2600.0000,sz002780,20,30
2019-01-02,65.4360,0.0000,15.5800,1.0000,2100.0000,sh603139,20,30
2019-01-02,62.2000,0.0000,31.1000,1.0000,1000.0000,sz300701,20,30
2019-01-02,63.9720,0.0000,17.7700,1.0000,1800.0000,sz002810,20,30
2019-01-02,64.0080,0.0000,15.2400,1.0000,2100.0000,sz002623,20,30
2019-01-02,63.2400,0.0000,18.6000,1.0000,1700.0000,sz300715,20,30
2019-01-02,62.4960,0.0000,22.3200,1.0000,1400.0000,sz300729,20,30
2019-01-02,66.4900,0.0000,3.0500,1.0000,10900.0000,sh600815,20,30
2019-01-02,66.5040,0.0000,6.5200,1.0000,5100.0000,sz000785,20,30
2019-01-02,66.2700,0.0000,7.0500,1.0000,4700.0000,sz000752,20,30
2019-01-02,66.6120,0.0000,3.6600,1.0000,9100.0000,sz002347,20,30
2019-01-02,63.8940,0.0000,13.8900,1.0000,2300.0000,sh603677,20,30
2019-01-02,64.7520,0.0000,17.0400,1.0000,1900.0000,sh603663,20,30
2019-01-02,65.2240,0.0000,10.5200,1.0000,3100.0000,sz000020,20,30
2019-01-02,65.8900,0.0000,5.9900,1.0000,5500.0000,sz002743,20,30
2019-01-02,66.4700,0.0000,3.9100,1.0000,8500.0000,sz000632,20,30
2019-01-30,68.6760,34.3380,2.9100,-1.0000,11800.0000,sz300259,20,30
2019-01-30,62.6280,31.3140,6.1400,-1.0000,5100.0000,sz000593,20,30
2019-01-30,64.2320,32.1160,8.6800,-1.0000,3700.0000,sz300503,20,30
2019-01-30,69.9720,34.9860,8.3300,-1.0000,4200.0000,sz300265,20,30
2019-01-30,61.8720,30.9360,12.8900,-1.0000,2400.0000,sz300517,20,30
2019-01-30,65.2280,32.6140,7.0900,-1.0000,4600.0000,sz002637,20,30
2019-01-30,69.1940,34.5970,11.9300,-1.0000,2900.0000,sh603878,20,30
2019-01-30,72.1200,36.0600,6.0100,-1.0000,6000.0000,sh600356,20,30
2019-01-30,62.9280,31.4640,13.6800,-1.0000,2300.0000,sh603887,20,30
2019-01-30,68.7880,34.3940,5.9300,-1.0000,5800.0000,sh600746,20,30
2019-01-30,69.8880,34.9440,3.8400,-1.0000,9100.0000,sh600791,20,30
2019-01-30,81.3400,40.6700,4.1500,-1.0000,9800.0000,sh600975,20,30
2019-01-30,58.8900,29.4450,22.6500,-1.0000,1300.0000,sz300649,20,30
2019-01-30,62.1920,31.0960,23.9200,-1.0000,1300.0000,sz300488,20,30
2019-01-30,65.3120,32.6560,12.5600,-1.0000,2600.0000,sz002780,20,30
