交易日期,策略总资产,策略涨跌幅,策略累计收益率,策略仓位比例,基准总资产,基准涨跌幅,基准累计收益率,调仓周期,选股数量
2019-01-02,993791.5900,-0.0062,0.9938,0.9821,2465.2900,-0.0115,0.9885,20,30
2019-01-03,988919.5900,-0.0049,0.9889,0.9820,2464.3600,-0.0004,0.9882,20,30
2019-01-04,1013724.5900,0.0251,1.0137,0.9824,2514.8700,0.0205,1.0084,20,30
2019-01-07,1038272.5900,0.0242,1.0383,0.9828,2533.0900,0.0072,1.0157,20,30
2019-01-08,1041064.5900,0.0027,1.0411,0.9829,2526.4600,-0.0026,1.0131,20,30
2019-01-09,1039703.5900,-0.0013,1.0397,0.9828,2544.3400,0.0071,1.0202,20,30
2019-01-10,1032981.5900,-0.0065,1.0330,0.9827,2535.1000,-0.0036,1.0165,20,30
2019-01-11,1043134.5900,0.0098,1.0431,0.9829,2553.8300,0.0074,1.0240,20,30
2019-01-14,1044131.5900,0.0010,1.0441,0.9829,2535.7700,-0.0071,1.0168,20,30
2019-01-15,1055081.5900,0.0105,1.0551,0.9831,2570.3400,0.0136,1.0307,20,30
2019-01-16,1052879.5900,-0.0021,1.0529,0.9831,2570.4200,0.0000,1.0307,20,30
2019-01-17,1036010.5900,-0.0160,1.0360,0.9828,2559.6400,-0.0042,1.0264,20,30
2019-01-18,1040667.5900,0.0045,1.0407,0.9829,2596.0100,0.0142,1.0409,20,30
2019-01-21,1041092.5900,0.0004,1.0411,0.9829,2610.5100,0.0056,1.0468,20,30
2019-01-22,1039644.5900,-0.0014,1.0396,0.9828,2579.7000,-0.0118,1.0344,20,30
2019-01-23,1043338.5900,0.0036,1.0433,0.9829,2581.0000,0.0005,1.0349,20,30
2019-01-24,1050361.5900,0.0067,1.0504,0.9830,2591.6900,0.0041,1.0392,20,30
2019-01-25,1048368.5900,-0.0019,1.0484,0.9830,2601.7200,0.0039,1.0432,20,30
2019-01-28,1045964.5900,-0.0023,1.0460,0.9829,2596.9800,-0.0018,1.0413,20,30
2019-01-29,1026657.5900,-0.0185,1.0267,0.9826,2594.2500,-0.0011,1.0402,20,30
2019-01-30,1014327.3770,-0.0120,1.0143,0.9562,2575.5800,-0.0072,1.0328,20,30
2019-01-31,990018.3770,-0.0240,0.9900,0.9551,2584.5700,0.0035,1.0364,20,30
2019-02-01,1011509.3770,0.0217,1.0115,0.9561,2618.2300,0.0130,1.0499,20,30
2019-02-11,1036160.3770,0.0244,1.0362,0.9571,2653.9000,0.0136,1.0642,20,30
2019-02-12,1046566.3770,0.0100,1.0466,0.9576,2671.8900,0.0068,1.0714,20,30
2019-02-13,1062258.3770,0.0150,1.0623,0.9582,2721.0700,0.0184,1.0911,20,30
2019-02-14,1073197.3770,0.0103,1.0732,0.9586,2719.7000,-0.0005,1.0905,20,30
2019-02-15,1078515.3770,0.0050,1.0785,0.9588,2682.3900,-0.0137,1.0756,20,30
2019-02-18,1113119.3770,0.0321,1.1131,0.9601,2754.3600,0.0268,1.1044,20,30
2019-02-19,1115761.3770,0.0024,1.1158,0.9602,2755.6500,0.0005,1.1050,20,30
2019-02-20,1125697.3770,0.0089,1.1257,0.9606,2761.2200,0.0020,1.1072,20,30
2019-02-21,1125923.3770,0.0002,1.1259,0.9606,2751.8000,-0.0034,1.1034,20,30
2019-02-22,1134499.3770,0.0076,1.1345,0.9609,2804.2300,0.0191,1.1244,20,30
2019-02-25,1179648.3770,0.0398,1.1796,0.9624,2961.2800,0.0560,1.1874,20,30
2019-02-26,1177817.3770,-0.0016,1.1778,0.9623,2941.5200,-0.0067,1.1795,20,30
2019-02-27,1177543.3770,-0.0002,1.1775,0.9623,2953.8200,0.0042,1.1844,20,30
2019-02-28,1180093.3770,0.0022,1.1801,0.9624,2940.9500,-0.0044,1.1793,20,30
2019-03-01,1186213.3770,0.0052,1.1862,0.9626,2994.0000,0.0180,1.2005,20,30
2019-03-04,1201656.3770,0.0130,1.2017,0.9630,3027.5800,0.0112,1.2140,20,30
2019-03-05,1233475.3770,0.0265,1.2335,0.9640,3054.2500,0.0088,1.2247,20,30
2019-03-06,1244658.6900,0.0091,1.2447,0.8005,3102.1000,0.0157,1.2439,20,30
