交易日期,当日收盘价,持仓数量,股票代码,调仓周期,选股数量
2019-01-02,2.7800,11800.0000,sz300259,20,30
2019-01-02,6.4700,5100.0000,sz000593,20,30
2019-01-02,8.9800,3700.0000,sz300503,20,30
2019-01-02,8.4600,4200.0000,sz300265,20,30
2019-01-02,13.2300,2400.0000,sz300517,20,30
2019-01-02,7.0200,4600.0000,sz002637,20,30
2019-01-02,11.2800,2900.0000,sh603878,20,30
2019-01-02,5.4800,6000.0000,sh600356,20,30
2019-01-02,13.8000,2300.0000,sh603887,20,30
2019-01-02,5.7400,5800.0000,sh600746,20,30
2019-01-02,3.6700,9100.0000,sh600791,20,30
2019-01-02,3.4100,9800.0000,sh600975,20,30
2019-01-02,24.0000,1300.0000,sz300649,20,30
2019-01-02,24.4100,1300.0000,sz300488,20,30
2019-01-02,12.7000,2600.0000,sz002780,20,30
2019-01-02,15.4300,2100.0000,sh603139,20,30
2019-01-02,31.6200,1000.0000,sz300701,20,30
2019-01-02,17.4700,1800.0000,sz002810,20,30
2019-01-02,14.8500,2100.0000,sz002623,20,30
2019-01-02,18.0300,1700.0000,sz300715,20,30
2019-01-02,21.9900,1400.0000,sz300729,20,30
2019-01-02,2.9900,10900.0000,sh600815,20,30
2019-01-02,6.4400,5100.0000,sz000785,20,30
2019-01-02,7.0300,4700.0000,sz000752,20,30
2019-01-02,3.6900,9100.0000,sz002347,20,30
2019-01-02,13.9300,2300.0000,sh603677,20,30
2019-01-02,17.6000,1900.0000,sh603663,20,30
2019-01-02,10.4700,3100.0000,sz000020,20,30
2019-01-02,5.9200,5500.0000,sz002743,20,30
2019-01-02,3.9200,8500.0000,sz000632,20,30
2019-01-03,2.7600,11800.0000,sz300259,20,30
2019-01-03,6.5500,5100.0000,sz000593,20,30
2019-01-03,8.8800,3700.0000,sz300503,20,30
2019-01-03,9.3100,4200.0000,sz300265,20,30
2019-01-03,13.1800,2400.0000,sz300517,20,30
2019-01-03,7.0600,4600.0000,sz002637,20,30
2019-01-03,11.2800,2900.0000,sh603878,20,30
2019-01-03,5.4600,6000.0000,sh600356,20,30
2019-01-03,13.6000,2300.0000,sh603887,20,30
2019-01-03,5.7800,5800.0000,sh600746,20,30
2019-01-03,3.6700,9100.0000,sh600791,20,30
2019-01-03,3.4100,9800.0000,sh600975,20,30
2019-01-03,22.7100,1300.0000,sz300649,20,30
2019-01-03,24.0700,1300.0000,sz300488,20,30
2019-01-03,12.4000,2600.0000,sz002780,20,30
2019-01-03,15.2700,2100.0000,sh603139,20,30
2019-01-03,30.8500,1000.0000,sz300701,20,30
2019-01-03,16.3300,1800.0000,sz002810,20,30
2019-01-03,14.8500,2100.0000,sz002623,20,30
2019-01-03,18.0600,1700.0000,sz300715,20,30
2019-01-03,21.7200,1400.0000,sz300729,20,30
2019-01-03,2.9900,10900.0000,sh600815,20,30
2019-01-03,6.5000,5100.0000,sz000785,20,30
2019-01-03,6.8500,4700.0000,sz000752,20,30
2019-01-03,3.7200,9100.0000,sz002347,20,30
2019-01-03,13.5300,2300.0000,sh603677,20,30
2019-01-03,17.7000,1900.0000,sh603663,20,30
2019-01-03,10.4300,3100.0000,sz000020,20,30
2019-01-03,5.7600,5500.0000,sz002743,20,30
2019-01-03,3.9700,8500.0000,sz000632,20,30
2019-01-04,2.8500,11800.0000,sz300259,20,30
2019-01-04,6.6200,5100.0000,sz000593,20,30
2019-01-04,9.1000,3700.0000,sz300503,20,30
2019-01-04,10.2400,4200.0000,sz300265,20,30
2019-01-04,13.3900,2400.0000,sz300517,20,30
2019-01-04,7.2000,4600.0000,sz002637,20,30
2019-01-04,11.5000,2900.0000,sh603878,20,30
2019-01-04,5.6500,6000.0000,sh600356,20,30
2019-01-04,14.0800,2300.0000,sh603887,20,30
2019-01-04,5.8500,5800.0000,sh600746,20,30
2019-01-04,3.9500,9100.0000,sh600791,20,30
2019-01-04,3.4700,9800.0000,sh600975,20,30
2019-01-04,22.9100,1300.0000,sz300649,20,30
2019-01-04,24.5000,1300.0000,sz300488,20,30
2019-01-04,12.5900,2600.0000,sz002780,20,30
2019-01-04,15.5400,2100.0000,sh603139,20,30
2019-01-04,31.8400,1000.0000,sz300701,20,30
2019-01-04,16.6200,1800.0000,sz002810,20,30
2019-01-04,15.2300,2100.0000,sz002623,20,30
2019-01-04,18.4700,1700.0000,sz300715,20,30
2019-01-04,22.1500,1400.0000,sz300729,20,30
2019-01-04,3.0500,10900.0000,sh600815,20,30
2019-01-04,6.6200,5100.0000,sz000785,20,30
2019-01-04,6.9700,4700.0000,sz000752,20,30
2019-01-04,3.8200,9100.0000,sz002347,20,30
2019-01-04,13.7300,2300.0000,sh603677,20,30
2019-01-04,17.8000,1900.0000,sh603663,20,30
2019-01-04,10.7300,3100.0000,sz000020,20,30
2019-01-04,5.8700,5500.0000,sz002743,20,30
2019-01-04,4.0500,8500.0000,sz000632,20,30
2019-01-07,3.1400,11800.0000,sz300259,20,30
2019-01-07,6.7200,5100.0000,sz000593,20,30
2019-01-07,9.2000,3700.0000,sz300503,20,30
2019-01-07,10.6100,4200.0000,sz300265,20,30
2019-01-07,13.7300,2400.0000,sz300517,20,30
2019-01-07,7.2800,4600.0000,sz002637,20,30
2019-01-07,11.7000,2900.0000,sh603878,20,30
2019-01-07,5.7700,6000.0000,sh600356,20,30
2019-01-07,14.5900,2300.0000,sh603887,20,30
2019-01-07,6.0000,5800.0000,sh600746,20,30
2019-01-07,4.0500,9100.0000,sh600791,20,30
2019-01-07,3.6400,9800.0000,sh600975,20,30
2019-01-07,23.2700,1300.0000,sz300649,20,30
2019-01-07,24.8900,1300.0000,sz300488,20,30
2019-01-07,12.9200,2600.0000,sz002780,20,30
2019-01-07,15.7100,2100.0000,sh603139,20,30
2019-01-07,32.5600,1000.0000,sz300701,20,30
2019-01-07,16.6100,1800.0000,sz002810,20,30
2019-01-07,15.5000,2100.0000,sz002623,20,30
2019-01-07,18.8200,1700.0000,sz300715,20,30
2019-01-07,22.4400,1400.0000,sz300729,20,30
2019-01-07,3.1000,10900.0000,sh600815,20,30
2019-01-07,6.6800,5100.0000,sz000785,20,30
2019-01-07,7.1600,4700.0000,sz000752,20,30
2019-01-07,3.9200,9100.0000,sz002347,20,30
2019-01-07,13.9300,2300.0000,sh603677,20,30
2019-01-07,19.2200,1900.0000,sh603663,20,30
2019-01-07,10.8500,3100.0000,sz000020,20,30
2019-01-07,5.9800,5500.0000,sz002743,20,30
2019-01-07,4.0900,8500.0000,sz000632,20,30
2019-01-08,3.1300,11800.0000,sz300259,20,30
2019-01-08,7.2600,5100.0000,sz000593,20,30
2019-01-08,9.2000,3700.0000,sz300503,20,30
2019-01-08,11.3000,4200.0000,sz300265,20,30
2019-01-08,13.8000,2400.0000,sz300517,20,30
2019-01-08,7.2900,4600.0000,sz002637,20,30
2019-01-08,11.7300,2900.0000,sh603878,20,30
2019-01-08,5.8500,6000.0000,sh600356,20,30
2019-01-08,14.6000,2300.0000,sh603887,20,30
2019-01-08,6.0100,5800.0000,sh600746,20,30
